Язык,Уровень,Направление,Ключевое слово
en,Директор,BI, "Business Intelligence Officer"
ru,Руководитель,Analytics, "Руководитель отдела аналитики" OR "Head of analytics" OR "Head of BI"
en,Руководитель,Analytics, "Head of analytics" OR "Head of BI"
ru,Руководитель,Data science / Machine Learning, "Руководитель data science" OR "Head of data science"
en,Руководитель,Data science / Machine Learning, "Head of data science"
ru,Линейный специалист,Analytics, "Аналитик BI" OR "BI Analyst"
en,Линейный специалист,Analytics, "BI Analyst"
ru,Директор,BI, "Директор по визуализации" OR "Директор по аналитической отчетности" OR "Business Intelligence Officer"
ru,Линейный специалист,Analytics, "Аналитик баз данных" OR "Database analyst"
en,Линейный специалист,Analytics, "Database analyst"
ru,Линейный специалист,BI, "Разработчик BI" OR "BI Developer"
en,Линейный специалист,BI, "BI Developer"
ru,Линейный специалист,Data Engineering, "Инженер баз данных" OR "DWH Engineer"
en,Линейный специалист,Data Engineering, "DWH Engineer"
ru,Линейный специалист,Analytics, "Продуктовый аналитик" OR "Product Analyst"
en,Линейный специалист,Analytics, "Product Analyst"
en,Линейный специалист,Data science / Machine Learning, "Data scientist" OR "Machine Learning specialist"
ru,Линейный специалист,Analytics, "Аналитик данных" OR "Data analyst"
en,Линейный специалист,Analytics, "Data analyst"
en,Линейный специалист,Analytics, "Junior Data Analyst"
ru,Линейный специалист,Analytics, "Marketing Analyst" OR "Маркетинговый аналитик"
en,Линейный специалист,Analytics, "Marketing Analyst"
ru,Линейный специалист,Analytics, "Бизнес аналитик" OR "Business Analyst"
en,Линейный специалист,Analytics, "Business Analyst"